,country_code,gdp_pcap,2018 ranking,Country,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity
0,AFG,520.896602719135,144.0,Afghanistan,38.34,50.410000000000004,38.64,25.97
1,AGO,3432.38573600893,137.0,Angola,40.99,47.44,44.86,30.69
2,ALB,5268.84850355919,52.0,Albania,71.52,85.04,78.01,51.51
3,ARE,43004.9533584848,62.0,United Arab Emirates,68.96000000000001,89.26,68.99,48.620000000000005
4,ARG,11683.949621636299,42.0,Argentina,76.15,83.85000000000001,75.81,68.79
5,ARM,4212.0709427293705,60.0,Armenia,69.75,88.84,71.84,48.57
6,AUS,57395.9194663167,12.0,Australia,88.12,95.81,87.01,81.55
7,AUT,51499.885361408604,17.0,Austria,86.72,96.57000000000001,87.94,75.63
8,BDI,271.752044376648,142.0,Burundi,38.9,44.01,46.01,26.67
9,BEL,47472.1367302078,19.0,Belgium,86.66,93.88,86.59,79.5
10,BEN,1240.82946441954,116.0,Benin,50.21,45.5,56.22,48.92
11,BFA,715.12290404614,127.0,Burkina Faso,46.730000000000004,46.63,52.4,41.15
12,BGD,1698.26280233547,108.0,Bangladesh,53.050000000000004,65.6,57.58,35.97
13,BGR,9271.54563263874,43.0,Bulgaria,75.66,89.11,73.81,64.08
14,BLR,6330.0752464187,46.0,Belarus,73.28,89.9,71.29,58.64
15,BOL,3548.5901397933794,92.0,Bolivia,63.300000000000004,74.11,65.3,50.480000000000004
16,BRA,9001.23424863499,47.0,Brazil,72.66,81.47,74.96000000000001,61.54
17,BRB,17949.2815054371,41.0,Barbados,77.22,89.46000000000001,75.33,66.86
18,BTN,3243.23112508014,77.0,Bhutan,66.41,83.55,66.66,49.01
19,BWA,8258.641665746909,84.0,Botswana,65.16,71.83,67.63,56.02
20,CAF,475.721250544318,148.0,Central African Republic,27.54,23.18,30.400000000000002,29.04
21,CAN,46234.3507461125,7.0,Canada,88.60000000000001,96.68,87.89,81.22
22,CHE,82828.797372173,5.0,Switzerland,88.97,96.89,88.94,81.08
23,CHL,15923.358737538101,33.0,Chile,80.84,91.67,79.93,70.9
24,CHN,9770.84708783314,88.0,China,64.16,81.29,67.6,43.59
25,CIV,1715.5313321264903,118.0,Côte d'Ivoire,49.79,52.620000000000005,56.54,40.2
26,CMR,1533.74213975885,125.0,Cameroon,47.36,54.230000000000004,52.94,34.9
27,COD,561.7771823904251,145.0,"Congo, Democratic Republic of",36.37,37.82,45.21,26.080000000000002
28,COG,2147.76946104594,133.0,"Congo, Republic of",44.79,51.86,51.81,30.7
29,COL,6667.7906995498,55.0,Colombia,71.11,81.18,77.82000000000001,54.33
30,COM,1415.2636223156198,113.0,Comoros,52.0,62.02,53.33,40.65
31,CPV,3635.40684982339,67.0,Cabo Verde,68.19,77.41,68.92,58.230000000000004
32,CRI,12027.365882631599,36.0,Costa Rica,79.98,89.03,82.52,68.38
33,CUB,8821.81889125004,73.0,Cuba,66.73,87.25,64.73,48.22
34,CYP,28689.6985789646,29.0,Cyprus,82.02,92.99,84.54,68.54
35,CZE,23069.383245433997,24.0,Czech Republic,84.06,95.7,82.13,74.35000000000001
36,DEU,47615.7400276733,8.0,Germany,88.54,95.96000000000001,86.54,83.11
37,DJI,3082.5430987195696,132.0,Djibouti,44.980000000000004,58.97,38.07,37.89
38,DNK,61390.693009700895,2.0,Denmark,89.55,96.52,89.05,83.07000000000001
39,DOM,8050.63160184635,81.0,Dominican Republic,65.78,76.52,69.37,51.46
40,DZA,4114.71506136896,80.0,Algeria,65.8,82.72,66.63,48.050000000000004
41,ECU,6344.87197850057,57.0,Ecuador,70.48,81.91,73.85000000000001,55.69
42,EGY,2549.13225178609,98.0,Egypt,60.13,82.87,53.65,43.86
44,ESP,30323.651062874,18.0,Spain,86.68,94.75,89.01,76.26
45,EST,23247.1098430453,26.0,Estonia,83.03,91.85000000000001,85.06,72.18
46,ETH,772.313530261357,135.0,Ethiopia,43.26,46.97,53.59,29.240000000000002
47,FIN,50175.299815659295,3.0,Finland,89.17,96.10000000000001,88.65,82.78
48,FJI,6266.96796528074,89.0,Fiji,63.86,81.87,60.21,49.5
49,FRA,41469.9195544229,15.0,France,87.69,94.31,90.22,78.53
50,GBR,42962.4127663553,13.0,United Kingdom,88.06,94.78,89.10000000000001,80.29
51,GEO,4722.777193864929,54.0,Georgia,71.13,83.53,73.16,56.71
52,GHA,2202.31216442504,97.0,Ghana,60.83,63.01,64.72,54.76
53,GIN,878.599613250501,141.0,Guinea,39.39,44.17,45.36,28.62
54,GMB,716.118488979126,114.0,"Gambia, The",50.42,60.480000000000004,52.14,38.63
55,GRC,20316.568330573602,30.0,Greece,81.47,92.84,80.89,70.68
56,GTM,4549.01008110721,99.0,Guatemala,59.9,70.07000000000001,66.69,42.95
57,GUY,4979.00218839886,93.0,Guyana,63.29,77.9,59.63,52.33
58,HND,2505.7767518956,100.0,Honduras,59.81,71.31,62.49,45.64
59,HRV,14915.372071573602,38.0,Croatia,79.5,91.13,81.03,66.33
60,HUN,16150.7727613725,40.0,Hungary,79.09,91.62,77.77,67.86
61,IDN,3893.59607757239,85.0,Indonesia,64.85,73.87,67.46000000000001,53.22
62,IND,2009.9788572703897,103.0,India,57.36,66.59,57.31,48.18
63,IRL,78582.9480997567,14.0,Ireland,88.01,95.28,87.44,81.32000000000001
65,ISL,73368.1174642654,4.0,Iceland,89.08,97.78,87.79,81.67
66,ISR,41719.7254417057,31.0,Israel,81.3,93.75,84.06,66.09
67,ITA,34488.6388549862,20.0,Italy,85.99,92.15,88.27,77.55
68,JAM,5354.2368587703,56.0,Jamaica,70.62,81.24,68.2,62.43
69,JOR,4241.78878213854,63.0,Jordan,68.85000000000001,89.02,68.9,48.63
70,JPN,39289.9584346358,11.0,Japan,88.21000000000001,97.69,91.13,75.8
71,KAZ,9814.7862577328,68.0,Kazakhstan,67.85,85.5,68.72,49.32
72,KEN,1710.51009699405,109.0,Kenya,52.96,55.22,60.84,42.84
73,KGZ,1279.94505737786,79.0,Kyrgyzstan,65.95,81.15,68.34,48.36
74,KHM,1510.3248705764001,119.0,Cambodia,49.74,58.13,58.120000000000005,32.980000000000004
75,KOR,31380.1464468654,23.0,"Korea, Republic of",85.36,96.79,85.60000000000001,73.69
76,LAO,2542.4865281792,122.0,Laos,48.660000000000004,60.36,55.75,29.89
77,LBN,8269.78767551923,86.0,Lebanon,64.54,79.65,66.19,47.79
78,LBR,677.322178545364,129.0,Liberia,46.300000000000004,43.85,48.67,46.37
79,LKA,4102.481350144671,66.0,Sri Lanka,68.25,78.03,77.0,49.730000000000004
80,LSO,1299.15312598733,121.0,Lesotho,48.76,47.28,47.79,51.21
81,LTU,19071.299790553,32.0,Lithuania,81.22,90.16,81.78,71.71000000000001
82,LUX,116597.295637954,16.0,Luxembourg,87.07000000000001,94.8,88.78,77.64
83,LVA,17854.7599635064,37.0,Latvia,79.8,89.82000000000001,80.08,69.51
84,MAR,3222.20063433213,83.0,Morocco,65.17,83.65,65.04,46.83
85,MDA,4228.9224754993,71.0,Moldova,67.11,83.05,66.43,51.86
86,MDG,527.501285041282,136.0,Madagascar,42.77,42.62,44.84,40.85
87,MEX,9673.44367360619,59.0,Mexico,70.13,82.14,73.08,55.17
88,MKD,6083.71894832148,65.0,Republic of North Macedonia,68.33,86.03,71.74,47.2
89,MLI,899.659908096615,131.0,Mali,45.61,54.85,48.25,33.730000000000004
90,MLT,30029.9670447209,28.0,Malta,82.28,92.99,86.95,66.91
91,MMR,1325.9529237064,111.0,Myanmar,52.1,60.730000000000004,55.78,39.800000000000004
92,MNE,8845.914218872958,52.0,Montenegro,71.52,85.71000000000001,76.95,51.88
93,MNG,4121.73243469391,82.0,Mongolia,65.33,71.76,65.77,58.46
94,MOZ,498.95722020865196,134.0,Mozambique,44.52,45.1,49.92,38.53
95,MRT,1188.8345875397301,139.0,Mauritania,40.86,52.74,43.19,26.63
96,MUS,11238.6903948961,45.0,Mauritius,73.88,90.7,72.33,58.620000000000005
97,MWI,389.398033178836,117.0,Malawi,50.1,52.65,55.02,42.63
98,MYS,11373.2330025676,49.0,Malaysia,71.71000000000001,89.0,73.56,52.56
99,NER,413.980304962089,138.0,Niger,40.87,43.22,42.24,37.160000000000004
100,NGA,2028.1819701759803,120.0,Nigeria,48.83,50.0,56.88,39.62
101,NIC,2020.54702818624,95.0,Nicaragua,62.190000000000005,75.75,67.91,42.910000000000004
102,NLD,53022.1913911959,10.0,Netherlands,88.4,96.69,87.87,80.64
103,NOR,81734.4655736102,1.0,Norway,90.01,96.95,91.06,82.0
104,NPL,1033.91243082634,104.0,Nepal,56.910000000000004,68.35000000000001,57.9,44.49
105,NZL,42330.9063973053,9.0,New Zealand,88.45,97.04,88.15,80.16
106,OMN,16415.157278098897,69.0,Oman,67.79,87.98,70.63,44.77
107,PAK,1482.40306306798,124.0,Pakistan,48.160000000000004,58.84,47.71,37.92
108,PAN,15575.072548291499,48.0,Panama,71.74,83.92,76.25,55.06
109,PER,6941.235847630121,58.0,Peru,70.44,79.41,76.22,55.7
110,PHL,3102.7133632993105,94.0,Philippines,62.690000000000005,68.87,66.72,52.49
111,PNG,2730.27479935873,143.0,Papua New Guinea,38.86,38.01,39.53,39.03
112,POL,15422.4534677396,34.0,Poland,80.8,93.89,80.65,67.86
114,PRT,23403.217642646898,21.0,Portugal,85.83,95.58,85.58,76.33
115,PRY,5821.81432292324,74.0,Paraguay,66.56,80.51,69.39,49.79
116,QAT,68793.78443726139,64.0,Qatar,68.37,92.81,70.27,42.02
117,ROU,12306.109748204899,44.0,Romania,74.38,87.38,74.49,61.28
118,RUS,11288.8784475021,61.0,Russia,69.02,83.78,70.85000000000001,52.42
119,RWA,772.944459929187,112.0,Rwanda,52.01,55.980000000000004,60.47,39.57
120,SAU,23338.9634580718,91.0,Saudi Arabia,63.36,85.47,68.79,35.81
121,SDN,977.273635724417,140.0,Sudan,40.660000000000004,54.34,45.17,22.46
122,SEN,1521.95355421391,102.0,Senegal,58.26,66.58,60.86,47.34
123,SGP,64581.9440183954,27.0,Singapore,82.74,98.44,84.53,65.25
124,SLE,533.991184258936,126.0,Sierra Leone,47.06,46.660000000000004,53.57,40.96
